update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,return_mean,return_std,return_min,return_max
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,return_mean,return_std,return_min,return_max
9,1152,135.52910764557862,12,0.09448818897637795,0.29250670269301904,0.0,1.0,"['None', '-0.101', '-0.103']","['None', '0.001', '0.001']",0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,return_mean,return_std,return_min,return_max
10,1280,141.56513548826007,12,0.03937007874015748,0.1944738430744641,0.0,1.0,"['None', '-0.027', '-0.027']","['None', '0.005', '0.000']",0.0,0.0,0.0,0.0
11,1408,159.78738465457982,13,0.0,0.0,0.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",0.0,0.0,0.0,0.0
12,1536,152.56977397477306,14,0.0,0.0,0.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",0.0,0.0,0.0,0.0
13,1664,114.47414351899235,15,0.0,0.0,0.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",0.0,0.0,0.0,0.0
14,1792,153.6376410579565,16,0.0,0.0,0.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",0.0,0.0,0.0,0.0
15,1920,152.68658250484975,17,0.0,0.0,0.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",0.0,0.0,0.0,0.0
16,2048,146.367312709755,18,0.0,0.0,0.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",0.0,0.0,0.0,0.0
17,2176,110.7262650578555,19,-0.015748031496062992,0.1244991204790701,-1.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",-0.015625,0.12401959270615269,-1.0,0.0
18,2304,153.05662632260464,20,-0.023622047244094488,0.1518685159211489,-1.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",-0.0234375,0.15128841196122722,-1.0,0.0
19,2432,151.3799362923525,21,-0.023622047244094488,0.15186851592114892,-1.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",-0.0234375,0.15128841196122722,-1.0,0.0
20,2560,154.69568537301717,21,0.0,0.0,0.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",0.0,0.0,0.0,0.0
