update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
18,4608,85.78993287121337,51,0.909690401133369,0.22758341100828625,0.0,0.9810526371002197,"['None', 'None', '-0.020']","['None', 'None', '0.000']",0.47431505843997,0.9665460512042046,0.008817196943348773,0.9478947520256042,0.9810526371002197
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
19,4864,96.57214387564704,54,0.6082456111907959,0.4318300658476653,0.0,0.9597368240356445,"['None', 'None', '0.066']","['None', 'None', '0.002']",0.11045037652365863,0.9123684167861938,0.047368407249450684,0.8650000095367432,0.9597368240356445
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
20,5120,83.48056662569641,57,0.6872631669044494,0.3453657073104079,0.0,0.9052631855010986,"['None', 'None', '0.036']","['None', 'None', '0.002']",0.17657777573913336,0.8590789586305618,0.03864593510537442,0.8010526299476624,0.9052631855010986
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
21,5376,90.44383763432329,60,0.2986842095851898,0.2986842095851898,0.0,0.5973684191703796,"['None', 'None', '0.070']","['None', 'None', '0.000']",0.07135672587901354,0.5973684191703796,0.0,0.5973684191703796,0.5973684191703796
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
22,5632,95.800205154523,63,0.5908771951993307,0.419425713466083,0.0,0.9313157796859741,"['None', 'None', '0.023']","['None', 'None', '0.001']",0.11000554473139346,0.886315792798996,0.04499998688697815,0.8413158059120178,0.9313157796859741
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
23,5888,94.625547356228,65,0.0,0.0,0.0,0.0,"['None', 'None', '0.055']","['None', 'None', '0.000']",0.025710326619446278,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
24,6144,99.84197408077968,68,0.47039473056793213,0.47039473056793213,0.0,0.9407894611358643,"['None', 'None', '0.045']","['None', 'None', '0.001']",0.07143433729652315,0.9407894611358643,0.0,0.9407894611358643,0.9407894611358643
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
25,6400,88.97490221594147,71,0.5285087625185648,0.39780342209271463,0.0,0.9597368240356445,"['None', 'None', '0.024']","['None', 'None', '0.003']",0.10947387153282762,0.7927631437778473,0.16697368025779724,0.62578946352005,0.9597368240356445
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
26,6656,79.0372206127991,74,0.8066118583083153,0.3061719019895199,0.0,0.9715789556503296,"['None', 'None', '-0.118']","['None', 'None', '0.006']",0.26424564234912395,0.9218421237809318,0.030145077810055217,0.8650000095367432,0.9715789556503296
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
27,6912,88.67946854185975,77,0.5281202878270831,0.703475892950727,-1.0,0.9644736647605896,"['None', 'None', '0.029']","['None', 'None', '0.040']",0.2467657197266817,0.6161403357982635,0.723274050441936,-1.0,0.9644736647605896
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
28,7168,87.21614929666494,80,0.8424473762512207,0.28346403379835317,0.0,0.9763157963752747,"['None', 'None', '-0.089']","['None', 'None', '0.008']",0.3162750005722046,0.9360526402791342,0.0407478612065233,0.8342105150222778,0.9763157963752747
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
29,7424,85.31585373314826,83,0.868508776028951,0.26304755102835886,0.0,0.9857894778251648,"['None', 'None', '-0.019']","['None', 'None', '0.002']",0.365421699360013,0.9474641193043102,0.02601968946057143,0.8792105317115784,0.9857894778251648
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
30,7680,87.37512577434887,86,0.8278362486097548,0.294814569861885,0.0,0.9786841869354248,"['None', 'None', '0.023']","['None', 'None', '0.003']",0.2903754962608218,0.9313157796859741,0.03752284987065978,0.8673684000968933,0.9786841869354248
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
31,7936,87.54385371019181,89,0.958890974521637,0.019746907047685298,0.8981578946113586,0.9786841869354248,"['None', 'None', '-0.058']","['None', 'None', '0.004']",0.41137169301509857,0.958890974521637,0.019746907047685298,0.8981578946113586,0.9786841869354248
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
32,8192,88.77004122433566,92,0.9034539423882961,0.23415684961448827,0.0,0.9834210276603699,"['None', 'None', '-0.021']","['None', 'None', '0.002']",0.4536600559949875,0.9636842052141825,0.021018387385062367,0.9028947353363037,0.9834210276603699
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
33,8448,90.6413228643602,94,0.7990092845524058,0.5044430617876546,-1.0,0.9834210276603699,"['None', 'None', '0.050']","['None', 'None', '0.043']",0.4890914484858513,0.8489473648369312,0.47746405737473807,-1.0,0.9834210276603699
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
34,8704,87.58999396919435,97,0.734649121761322,0.3358259314027675,0.0,0.9763157963752747,"['None', 'None', '0.018']","['None', 'None', '0.004']",0.2072151741012931,0.8815789461135864,0.0761881075885202,0.7939473390579224,0.9763157963752747
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
35,8960,88.66237770072406,100,0.8716666748126348,0.26316948277554225,0.0,0.9739473462104797,"['None', 'None', '-0.060']","['None', 'None', '0.002']",0.36516590509563684,0.9509090997956016,0.01421377981924331,0.9194737076759338,0.9739473462104797
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
36,9216,87.83439383008891,103,0.8422105193138123,0.2832461246839926,0.0,0.9786841869354248,"['None', 'None', '0.006']","['None', 'None', '0.003']",0.3170572640374303,0.9357894659042358,0.039653974772604565,0.848421037197113,0.9786841869354248
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
37,9472,95.45580027196331,106,0.5837719241778055,0.4136137984745115,0.0,0.9076315760612488,"['None', 'None', '0.057']","['None', 'None', '0.002']",0.1097637836355716,0.8756578862667084,0.031973689794540405,0.843684196472168,0.9076315760612488
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
38,9728,88.54631401256604,109,0.6924736738204956,0.3536818009115108,0.0,0.926578938961029,"['None', 'None', '0.001']","['None', 'None', '0.003']",0.176825693808496,0.8655920922756195,0.08070679232874416,0.7276315689086914,0.926578938961029
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
39,9984,100.5443175102762,111,0.4668421149253845,0.4668421149253845,0.0,0.933684229850769,"['None', 'None', '0.013']","['None', 'None', '0.003']",0.07173539884388447,0.933684229850769,0.0,0.933684229850769,0.933684229850769
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
40,10240,88.69464639581037,114,0.9262829050421715,0.03207085942544061,0.8531578779220581,0.9621052742004395,"['None', 'None', '-0.097']","['None', 'None', '0.004']",0.26416071970015764,0.9262829050421715,0.03207085942544061,0.8531578779220581,0.9621052742004395
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
41,10496,87.93795885741616,117,0.6814114884896711,0.5964384503449363,-1.0,0.9715789556503296,"['None', 'None', '-0.002']","['None', 'None', '0.044']",0.35414914786815643,0.7495526373386383,0.5832986625424645,-1.0,0.9715789556503296
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
42,10752,88.3187788086946,120,0.9024177603423595,0.23332684007854965,0.0,0.9857894778251648,"['None', 'None', '-0.063']","['None', 'None', '0.002']",0.45419207587838173,0.9625789443651835,0.01268672190366973,0.9360526204109192,0.9857894778251648
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
43,11008,88.38016295327228,123,0.8957543810208638,0.24002911864430362,0.0,0.9786841869354248,"['None', 'None', '-0.013']","['None', 'None', '0.002']",0.4324635695666075,0.9597368368080684,0.017970592564132155,0.9171052575111389,0.9786841869354248
