update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,return_mean,return_std,return_min,return_max
40,10240,31.69277091,275,5.5,0.5,5,6,"['0.063', '-0.060', '0.086']","['0.391', '0.013', '0.029']",-1,0,-1,-1
,,,,,,,,,,,,,
41,10496,31.59611469,284,6,0,6,6,"['-0.161', '-0.002', '-0.010']","['0.076', '0.004', '0.000']",0,0,0,0
,,,,,,,,,,,,,
42,10752,33.0619515,291,3,0,3,3,"['0.034', '0.323', 'None']","['0.020', '0.095', 'None']",0,0,0,0
,,,,,,,,,,,,,
43,11008,31.20577879,300,6,0,6,6,"['0.536', '-0.148', '-0.010']","['0.230', '0.122', '0.000']",0,0,0,0
,,,,,,,,,,,,,
44,11264,39.27321609,306,0,0,0,0,"['0.571', 'None', 'None']","['0.365', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
45,11520,31.28425121,314,6,0,6,6,"['-0.881', '-0.058', '-0.006']","['0.840', '0.003', '0.000']",0,0,0,0
,,,,,,,,,,,,,
46,11776,39.42210712,321,0,0,0,0,"['0.472', 'None', 'None']","['0.193', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
47,12032,33.89147317,328,0.333333333,1.247219129,-1,2,"['0.242', '1.113', 'None']","['0.738', '2.111', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
48,12288,31.05607733,337,4.850789547,1.850789547,3,6.701579094,"['-0.047', '-0.277', '-0.133']","['0.477', '0.365', '0.011']",0.701578975,0,0.701578975,0.701578975
,,,,,,,,,,,,,
49,12544,34.05101498,344,3,0,3,3,"['-1.201', '0.244', 'None']","['0.797', '0.081', 'None']",0,0,0,0
,,,,,,,,,,,,,
50,12800,35.3792413,351,6,0,6,6,"['0.580', '-0.124', '-0.004']","['0.515', '0.133', '0.000']",0,0,0,0
,,,,,,,,,,,,,
51,13056,34.90966899,359,1,2,-1,3,"['0.632', '0.168', 'None']","['0.745', '0.006', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
52,13312,31.13868955,367,2.5,3.5,-1,6,"['0.612', '-0.520', '-0.024']","['0.978', '0.199', '0.000']",-1,0,-1,-1
,,,,,,,,,,,,,
53,13568,32.07188123,375,3.212236881,3.212236881,0,6.424473763,"['-0.286', '-1.686', '-0.042']","['0.325', '1.466', '0.002']",0.424473673,0,0.424473673,0.424473673
,,,,,,,,,,,,,
54,13824,31.32384074,383,4,1,3,5,"['-0.215', '0.091', '0.324']","['0.314', '0.015', '0.099']",-1,0,-1,-1
,,,,,,,,,,,,,
55,14080,34.16726895,390,3,0,3,3,"['-0.057', '0.242', 'None']","['0.330', '0.075', 'None']",0,0,0,0
,,,,,,,,,,,,,
56,14336,31.71210441,399,6,0,6,6,"['-0.022', '-0.889', '-0.028']","['0.245', '0.299', '0.000']",0,0,0,0
,,,,,,,,,,,,,
57,14592,35.61561091,406,2.5,2.5,0,5,"['-0.762', '0.197', '0.078']","['0.734', '0.048', '0.016']",-1,0,-1,-1
,,,,,,,,,,,,,
58,14848,32.3123503,414,6,0,6,6,"['-1.443', '-0.053', '-0.031']","['1.566', '0.001', '0.000']",0,0,0,0
,,,,,,,,,,,,,
59,15104,32.41365763,422,6,0,6,6,"['-1.715', '-0.068', '-0.025']","['2.407', '0.001', '0.000']",0,0,0,0
,,,,,,,,,,,,,
60,15360,32.00977624,430,6,0,6,6,"['0.038', '-0.017', '-0.024']","['0.023', '0.001', '0.000']",0,0,0,0
,,,,,,,,,,,,,
61,15616,31.82609691,438,6,0,6,6,"['-1.140', '0.021', '-0.016']","['0.918', '0.001', '0.000']",0,0,0,0
,,,,,,,,,,,,,
62,15872,33.596827,445,2.5,0.5,2,3,"['0.196', '0.532', 'None']","['0.202', '0.628', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
63,16128,33.78631168,453,1.333333333,0.942809042,0,2,"['0.410', '1.069', 'None']","['0.223', '1.756', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
64,16384,31.58266689,461,6,0,6,6,"['0.194', '-0.310', '-0.012']","['0.080', '0.082', '0.000']",0,0,0,0
,,,,,,,,,,,,,
65,16640,31.63840803,469,5.5,0.5,5,6,"['-0.329', '-0.033', '0.013']","['0.191', '0.046', '0.016']",-1,0,-1,-1
,,,,,,,,,,,,,
66,16896,33.67408338,477,3,0,3,3,"['-0.149', '0.298', 'None']","['0.006', '0.059', 'None']",0,0,0,0
,,,,,,,,,,,,,
67,17152,31.29901701,485,4.788026333,1.788026333,3,6.576052666,"['0.106', '0.105', '-0.110']","['0.188', '0.089', '0.006']",0.576052606,0,0.576052606,0.576052606
,,,,,,,,,,,,,
68,17408,33.75335953,492,3,0,3,3,"['-0.105', '0.239', 'None']","['0.055', '0.050', 'None']",0,0,0,0
,,,,,,,,,,,,,
69,17664,33.79082628,500,2.5,0.5,2,3,"['0.263', '0.307', 'None']","['0.043', '0.162', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
70,17920,31.50895715,508,6,0,6,6,"['0.044', '-0.748', '-0.015']","['0.037', '0.255', '0.000']",0,0,0,0
,,,,,,,,,,,,,
71,18176,31.8045619,516,6,0,6,6,"['-0.209', '-0.776', '-0.018']","['0.125', '0.319', '0.000']",0,0,0,0
,,,,,,,,,,,,,
72,18432,38.39684947,523,-0.5,0.5,-1,0,"['0.705', 'None', 'None']","['0.881', 'None', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
73,18688,31.24869981,531,6.225263119,0.225263119,6,6.450526237,"['-0.465', '-0.461', '-0.045']","['0.676', '0.123', '0.004']",0.450526327,0,0.450526327,0.450526327
,,,,,,,,,,,,,
74,18944,31.07287186,539,6,0,6,6,"['-1.387', '-0.308', '-0.006']","['0.937', '0.033', '0.000']",0,0,0,0
,,,,,,,,,,,,,
75,19200,30.81489005,548,6,0,6,6,"['-0.379', '-0.117', '-0.004']","['0.060', '0.001', '0.000']",0,0,0,0
,,,,,,,,,,,,,
76,19456,30.68708979,556,6,0,6,6,"['-0.175', '0.022', '0.002']","['0.068', '0.004', '0.000']",0,0,0,0
,,,,,,,,,,,,,
77,19712,30.85935883,564,6.306973696,0.306973696,6,6.613947392,"['0.160', '-0.207', '-0.054']","['0.012', '0.044', '0.004']",0.613947392,0,0.613947392,0.613947392
,,,,,,,,,,,,,
78,19968,30.91054046,573,6,0,6,6,"['0.325', '-0.145', '0.000']","['0.395', '0.001', '0.000']",0,0,0,0
,,,,,,,,,,,,,
79,20224,30.880501,581,6.329473734,0.329473734,6,6.658947468,"['-0.167', '-0.033', '-0.048']","['0.056', '0.003', '0.005']",0.658947349,0,0.658947349,0.658947349
,,,,,,,,,,,,,
