update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,204.6731499068301,10,-0.5266250014305115,0.8200993723245422,-1.0,0.9375,1.7129813134670258,-0.029806350823491812,0.11111253779381514,0.11830195784568787,0.4657299063390513,-0.5266250014305115,0.8200993723245422,-1.0,0.9375
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,283.0746621532556,17,-0.6404924261750597,0.729149202015294,-1.0,0.9825000166893005,1.703429788351059,-0.20113045535981655,0.11789014004170895,0.14863505959510803,0.2850503471097684,-0.6404924261750597,0.729149202015294,-1.0,0.9825000166893005
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,372.8875031510102,22,-0.6339673931184022,0.7440677628428312,-1.0,0.9599999785423279,1.7093788981437683,-0.24815446510910988,0.05127737019211054,0.1035983432084322,0.21655841829431344,-0.6339673931184022,0.7440677628428312,-1.0,0.9599999785423279
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,359.5612261457669,28,-0.3805128213686821,0.8776991653123316,-1.0,0.9649999737739563,1.737760215997696,-0.24991165846586227,-0.00709319015732035,0.11460007913410664,0.2552216750925476,-0.3805128213686821,0.8776991653123316,-1.0,0.9649999737739563
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,385.1849041523518,33,-0.45811403634255393,0.839777312927836,-1.0,0.9624999761581421,1.7269603908061981,-0.20045864954590797,-0.01767548659699969,0.13444234989583492,0.26063832941811127,-0.45811403634255393,0.839777312927836,-1.0,0.9624999761581421
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,412.4507188220894,38,-0.6882456143697103,0.6777893895455189,-1.0,0.949999988079071,1.7558812648057938,-0.2932829409837723,0.06965922340168618,0.11596841737627983,0.3860335757849474,-0.6882456143697103,0.6777893895455189,-1.0,0.949999988079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,418.82835469073535,43,-0.6404878046454453,0.7314240667264785,-1.0,0.9800000190734863,1.74116550385952,-0.3200097754597664,0.015080668730661273,0.0857926607131958,0.21788620670551434,-0.6404878046454453,0.7314240667264785,-1.0,0.9800000190734863
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,442.2339974170043,48,-0.22570000052452088,0.8830542219774115,-1.0,0.9674999713897705,1.7533182054758072,-0.25191543623805046,-0.058544694911688566,0.07522019743919373,0.201008154649166,-0.22570000052452088,0.8830542219774115,-1.0,0.9674999713897705
